n,g,m,r,efficiency
150,6,0.9800000190734864,8,0.342222
150,4,0.9800000190734864,8,0.369422
150,5,0.9800000190734864,8,0.353822
150,6,0.9800000190734864,8,0.342933
150,3,0.9800000190734864,8,0.357067
150,4,0.9800000190734864,8,0.355778
150,5,0.9800000190734864,8,0.348756
150,3,0.9800000190734864,8,0.365244
150,2,0.9800000190734864,8,0.343289
150,3,0.9800000190734864,8,0.3584
150,5,0.9800000190734864,8,0.353333
150,4,0.9800000190734864,8,0.3572
150,3,0.9800000190734864,8,0.364311
150,5,0.9800000190734864,8,0.352044
150,6,0.9800000190734864,8,0.340933
150,3,0.9800000190734864,8,0.366044
150,5,0.9800000190734864,8,0.347778
150,3,0.9800000190734864,8,0.369156
150,3,0.9800000190734864,8,0.360356
150,4,0.9800000190734864,8,0.36
150,3,0.9800000190734864,8,0.356933
150,5,0.9800000190734864,8,0.355467
150,5,0.9800000190734864,8,0.356133
150,6,0.9800000190734864,8,0.341956
150,2,0.9800000190734864,8,0.352933
150,2,0.9800000190734864,8,0.351244
150,3,0.9800000190734864,8,0.358222
150,4,0.9800000190734864,8,0.359156
150,6,0.9800000190734864,8,0.342756
150,3,0.9800000190734864,8,0.354844
150,4,0.9800000190734864,8,0.351511
150,2,0.9800000190734864,8,0.343822
150,2,0.9800000190734864,8,0.342489
150,5,0.9800000190734864,8,0.348933
150,6,0.9800000190734864,8,0.336178
150,2,0.9800000190734864,8,0.347644
150,3,0.9800000190734864,8,0.362356
150,5,0.9800000190734864,8,0.348178
150,4,0.9800000190734864,8,0.355822
150,4,0.9800000190734864,8,0.357022
150,4,0.9800000190734864,8,0.357511
150,6,0.9800000190734864,8,0.341111
150,5,0.9800000190734864,8,0.355289
150,2,0.9800000190734864,8,0.355111
150,3,0.9800000190734864,8,0.359778
150,4,0.9800000190734864,8,0.362711
150,5,0.9800000190734864,8,0.349689
150,2,0.9800000190734864,8,0.351911
150,2,0.9800000190734864,8,0.353511
150,4,0.9800000190734864,8,0.359956
150,5,0.9800000190734864,8,0.351689
150,3,0.9800000190734864,8,0.358622
150,3,0.9800000190734864,8,0.350889
150,2,0.9800000190734864,8,0.3464
150,6,0.9800000190734864,8,0.342622
150,2,0.9800000190734864,8,0.347556
150,4,0.9800000190734864,8,0.364756
150,4,0.9800000190734864,8,0.3612
150,6,0.9800000190734864,8,0.342089
150,3,0.9800000190734864,8,0.367422
150,2,0.9800000190734864,8,0.346222
150,5,0.9800000190734864,8,0.351644
150,6,0.9800000190734864,8,0.343911
150,4,0.9800000190734864,8,0.351511
150,5,0.9800000190734864,8,0.346844
150,5,0.9800000190734864,8,0.347956
150,4,0.9800000190734864,8,0.361733
150,4,0.9800000190734864,8,0.356044
150,6,0.9800000190734864,8,0.341067
150,6,0.9800000190734864,8,0.341556
150,2,0.9800000190734864,8,0.352489
150,4,0.9800000190734864,8,0.360667
150,6,0.9800000190734864,8,0.337511
150,2,0.9800000190734864,8,0.347156
150,4,0.9800000190734864,8,0.361556
150,4,0.9800000190734864,8,0.357556
150,4,0.9800000190734864,8,0.353733
150,2,0.9800000190734864,8,0.352933
150,4,0.9800000190734864,8,0.356889
150,3,0.9800000190734864,8,0.365289
150,6,0.9800000190734864,8,0.337733
150,2,0.9800000190734864,8,0.351067
150,6,0.9800000190734864,8,0.336222
150,6,0.9800000190734864,8,0.338267
150,5,0.9800000190734864,8,0.3432
150,2,0.9800000190734864,8,0.345422
150,4,0.9800000190734864,8,0.354133
150,3,0.9800000190734864,8,0.371867
150,2,0.9800000190734864,8,0.356489
150,5,0.9800000190734864,8,0.349156
150,4,0.9800000190734864,8,0.3572
150,4,0.9800000190734864,8,0.355689
150,3,0.9800000190734864,8,0.3648
150,4,0.9800000190734864,8,0.356667
150,4,0.9800000190734864,8,0.356756
150,2,0.9800000190734864,8,0.349511
150,6,0.9800000190734864,8,0.335822
150,3,0.9800000190734864,8,0.365467
150,4,0.9800000190734864,8,0.355422
150,6,0.9800000190734864,8,0.343378
150,6,0.9800000190734864,8,0.342711
150,4,0.9800000190734864,8,0.358578
150,6,0.9800000190734864,8,0.344711
150,4,0.9800000190734864,8,0.360622
150,4,0.9800000190734864,8,0.358311
150,2,0.9800000190734864,8,0.352667
150,3,0.9800000190734864,8,0.358267
150,5,0.9800000190734864,8,0.348222
150,4,0.9800000190734864,8,0.361156
150,4,0.9800000190734864,8,0.368089
150,4,0.9800000190734864,8,0.364933
150,3,0.9800000190734864,8,0.358756
150,6,0.9800000190734864,8,0.343333
150,3,0.9800000190734864,8,0.360889
150,2,0.9800000190734864,8,0.357778
150,5,0.9800000190734864,8,0.353422
150,5,0.9800000190734864,8,0.346222
150,6,0.9800000190734864,8,0.342933
150,5,0.9800000190734864,8,0.345556
150,6,0.9800000190734864,8,0.3452
150,6,0.9800000190734864,8,0.342
150,3,0.9800000190734864,8,0.359244
150,3,0.9800000190734864,8,0.364889
150,6,0.9800000190734864,8,0.345467
150,5,0.9800000190734864,8,0.343289
150,4,0.9800000190734864,8,0.357733
150,2,0.9800000190734864,8,0.348
150,2,0.9800000190734864,8,0.355644
150,5,0.9800000190734864,8,0.348933
150,3,0.9800000190734864,8,0.359289
150,6,0.9800000190734864,8,0.335467
150,5,0.9800000190734864,8,0.353333
150,2,0.9800000190734864,8,0.345067
150,5,0.9800000190734864,8,0.349111
150,5,0.9800000190734864,8,0.351778
150,3,0.9800000190734864,8,0.361822
150,4,0.9800000190734864,8,0.361644
150,4,0.9800000190734864,8,0.361556
150,6,0.9800000190734864,8,0.342444
150,2,0.9800000190734864,8,0.354844
150,2,0.9800000190734864,8,0.349067
150,6,0.9800000190734864,8,0.340844
150,2,0.9800000190734864,8,0.356311
150,3,0.9800000190734864,8,0.362622
150,4,0.9800000190734864,8,0.362889
150,3,0.9800000190734864,8,0.365956
150,3,0.9800000190734864,8,0.367022
150,2,0.9800000190734864,8,0.355956
150,2,0.9800000190734864,8,0.352089
150,4,0.9800000190734864,8,0.359689
150,3,0.9800000190734864,8,0.372844
150,2,0.9800000190734864,8,0.356044
150,2,0.9800000190734864,8,0.345644
150,2,0.9800000190734864,8,0.331422
150,6,0.9800000190734864,8,0.346578
150,6,0.9800000190734864,8,0.3412
150,2,0.9800000190734864,8,0.348622
150,3,0.9800000190734864,8,0.356667
150,3,0.9800000190734864,8,0.3664
150,2,0.9800000190734864,8,0.352533
150,4,0.9800000190734864,8,0.358178
150,4,0.9800000190734864,8,0.358311
150,6,0.9800000190734864,8,0.345911
150,2,0.9800000190734864,8,0.353422
150,6,0.9800000190734864,8,0.346222
150,4,0.9800000190734864,8,0.368933
150,5,0.9800000190734864,8,0.349867
150,4,0.9800000190734864,8,0.356889
150,5,0.9800000190734864,8,0.354844
150,4,0.9800000190734864,8,0.361022
150,4,0.9800000190734864,8,0.357067
150,6,0.9800000190734864,8,0.340178
150,3,0.9800000190734864,8,0.368311
150,2,0.9800000190734864,8,0.347067
150,6,0.9800000190734864,8,0.348311
150,5,0.9800000190734864,8,0.3532
150,5,0.9800000190734864,8,0.354578
150,2,0.9800000190734864,8,0.351111
150,6,0.9800000190734864,8,0.340444
