trial_id,gust_intensity,trial_index_within_gust_level,efficiency,voxels_covered,final_step_coverage_rate,mean_coverage_rate_across_steps,std_coverage_rate_across_steps
187,5,36,0.08057777777777778,1813,0.08057777777777778,0.11954326508896962,0.03249792747328995
188,5,37,0.08377777777777778,1885,0.08377777777777778,0.12669336174182935,0.033432895959916296
189,5,38,0.08048888888888889,1811,0.08048888888888889,0.11628065422379265,0.02758947276581661
190,5,39,0.08284444444444444,1864,0.08284444444444444,0.1268724161161539,0.03479702370586076
191,5,40,0.08208888888888889,1847,0.08208888888888889,0.11788228568579555,0.02759593462990138
192,5,41,0.08328888888888888,1874,0.08328888888888888,0.11884475912766577,0.027886721220572622
193,5,42,0.08133333333333333,1830,0.08133333333333333,0.12060290536872849,0.02894084660008238
194,5,43,0.08262222222222222,1859,0.08262222222222222,0.12492201271695935,0.033750843708426306
195,5,44,0.0824,1854,0.0824,0.11995725282251399,0.028798772870143454
196,5,45,0.08142222222222223,1832,0.08142222222222223,0.1220984293194546,0.03508899763654997
197,5,46,0.08075555555555555,1817,0.08075555555555555,0.11860382617374875,0.02735638025544645
198,5,47,0.08302222222222222,1868,0.08302222222222222,0.12447870864012851,0.03451661417211795
199,5,48,0.08244444444444445,1855,0.08244444444444445,0.12224642996888034,0.03228103850734871
200,5,49,0.08177777777777778,1840,0.08177777777777778,0.1243351194228778,0.034372335788339044
201,6,0,0.08311111111111111,1870,0.08311111111111111,0.12208364315493882,0.03055250290493509
202,6,1,0.08271111111111111,1861,0.08271111111111111,0.12485976663158395,0.03527915190949653
203,6,2,0.08173333333333334,1839,0.08173333333333334,0.12398498615548682,0.03401065744047793
204,6,3,0.08186666666666667,1842,0.08186666666666667,0.12580895956314095,0.03628473428163724
205,6,4,0.08346666666666666,1878,0.08346666666666666,0.12596846858497132,0.03442680071359524
206,6,5,0.08155555555555556,1835,0.08155555555555556,0.12641807977445232,0.03808816221159801
207,6,6,0.08244444444444445,1855,0.08244444444444445,0.12780226015333157,0.035673236511261745
208,6,7,0.0812,1827,0.0812,0.12076449843792174,0.03234141609832673
209,6,8,0.0811111111111111,1825,0.0811111111111111,0.12348120700501052,0.03321313964356133
210,6,9,0.08155555555555556,1835,0.08155555555555556,0.12572401104423842,0.0394633147044622
211,6,10,0.08262222222222222,1859,0.08262222222222222,0.1321710395469395,0.042067501168022436
212,6,11,0.08284444444444444,1864,0.08284444444444444,0.1284571472405787,0.03699641410929694
213,6,12,0.08311111111111111,1870,0.08311111111111111,0.12642667118566364,0.03600602413917098
214,6,13,0.0832,1872,0.0832,0.1253467493987592,0.03428303698140672
215,6,14,0.08222222222222222,1850,0.08222222222222222,0.1220149380505117,0.030894735481706632
216,6,15,0.08275555555555555,1862,0.08275555555555555,0.12163279779359075,0.031102566442758703
217,6,16,0.08324444444444444,1873,0.08324444444444444,0.13073574918995937,0.03583632897456415
218,6,17,0.08311111111111111,1870,0.08311111111111111,0.1257885133783635,0.03475421977122219
219,6,18,0.08435555555555556,1898,0.08435555555555556,0.12549086852213706,0.03050579063922384
220,6,19,0.0812,1827,0.0812,0.12131664702408827,0.032994548717554764
221,6,20,0.08293333333333333,1866,0.08293333333333333,0.13273190066260454,0.039692768235590155
222,6,21,0.0824,1854,0.0824,0.12827420588377217,0.03829312135191219
223,6,22,0.08208888888888889,1847,0.08208888888888889,0.12290057792478808,0.033348638236306086
224,6,23,0.08155555555555556,1835,0.08155555555555556,0.1197248381751189,0.02827591535688603
225,6,24,0.08195555555555556,1844,0.08195555555555556,0.12243864381208598,0.030295198882513186
226,6,25,0.08151111111111112,1834,0.08151111111111112,0.12437822850728693,0.03269326573483788
227,6,26,0.08266666666666667,1860,0.08266666666666667,0.11858016001494173,0.03198011839745646
228,6,27,0.08204444444444445,1846,0.08204444444444445,0.12039877523935054,0.029934329118063617
229,6,28,0.08182222222222223,1841,0.08182222222222223,0.12112897805544452,0.029827496521707443
230,6,29,0.08222222222222222,1850,0.08222222222222222,0.11623787698721484,0.02774695949903573
231,6,30,0.08231111111111111,1852,0.08231111111111111,0.12772365771462996,0.036884140594379305
232,6,31,0.08275555555555555,1862,0.08275555555555555,0.12437346077722279,0.032856005716170596
233,6,32,0.08293333333333333,1866,0.08293333333333333,0.12257339859121172,0.033264162536786816
234,6,33,0.08333333333333333,1875,0.08333333333333333,0.12707293723256294,0.03605019826614221
235,6,34,0.08124444444444444,1828,0.08124444444444444,0.11656649566861597,0.029041183968494325
236,6,35,0.08137777777777777,1831,0.08137777777777777,0.11808702860225073,0.02915665721360569
237,6,36,0.08226666666666667,1851,0.08226666666666667,0.12431363309862363,0.037161538944615005
238,6,37,0.08124444444444444,1828,0.08124444444444444,0.11731467919883523,0.028327964334923423
239,6,38,0.08315555555555555,1871,0.08315555555555555,0.12908102519571577,0.03889376089053485
240,6,39,0.08346666666666666,1878,0.08346666666666666,0.1250884629475398,0.03291400088118207
241,6,40,0.08217777777777778,1849,0.08217777777777778,0.12399893112574804,0.0343820882514512
242,6,41,0.0824,1854,0.0824,0.12263781462221933,0.031115503942443907
243,6,42,0.08346666666666666,1878,0.08346666666666666,0.1263246170550524,0.033121426862595706
244,6,43,0.08164444444444445,1837,0.08164444444444445,0.12228537338597924,0.03219611581342373
245,6,44,0.08208888888888889,1847,0.08208888888888889,0.12152220901536757,0.03458799026935966
246,6,45,0.08248888888888889,1856,0.08248888888888889,0.11700040953225326,0.028364302424681638
247,6,46,0.0824,1854,0.0824,0.12043089438815563,0.029795760377558773
248,6,47,0.08106666666666666,1824,0.08106666666666666,0.1216274628437032,0.03463776482559439
249,6,48,0.08275555555555555,1862,0.08275555555555555,0.1264606515944078,0.03680256814601837
250,6,49,0.0828,1863,0.0828,0.12769782171564145,0.036516430345317805
